X931_R_466_1dqx_ident,X932_R_466_1dqx_score,X743_R_372_1mhw_ident,X744_R_372_1mhw_score,X207_R_104_1gny_ident,X208_R_104_1gny_score,X815_R_408_1tkb_ident,X816_R_408_1tkb_score,X557_R_279_1dzk_ident,X558_R_279_1dzk_score,X149_R_75_1pdz_ident,X150_R_75_1pdz_score,X417_R_209_2h6b_ident,X418_R_209_2h6b_score,X777_R_389_1yqy_ident,X778_R_389_1yqy_score,X327_R_164_1h1p_ident,X328_R_164_1h1p_score,X39_R_20_1m0o_ident,X40_R_20_1m0o_score,X623_R_312_1dl7_ident,X624_R_312_1dl7_score,X765_R_383_2mas_ident,X766_R_383_2mas_score,X613_R_307_1jqe_ident,X614_R_307_1jqe_score,X935_R_468_1lor_ident,X936_R_468_1lor_score,X209_R_105_1m2x_ident,X210_R_105_1m2x_score,X789_R_395_1rd4_ident,X790_R_395_1rd4_score,X795_R_398_1njs_ident,X796_R_398_1njs_score,X759_R_380_2ccb_ident,X760_R_380_2ccb_score,X47_R_24_1gyx_ident,X48_R_24_1gyx_score,X55_R_28_1o8b_ident,X56_R_28_1o8b_score,X189_R_95_1awi_ident,X190_R_95_1awi_score,X453_R_227_1kc7_ident,X454_R_227_1kc7_score,X3_R_2_1wkm_ident,X4_R_2_1wkm_score,X283_R_142_2ca8_ident,X284_R_142_2ca8_score,X669_R_335_1rdt_ident,X670_R_335_1rdt_score,X899_R_450_2bys_ident,X900_R_450_2bys_score,X435_R_218_1abf_ident,X436_R_218_1abf_score,X517_R_259_1u1w_ident,X518_R_259_1u1w_score,X159_R_80_2am4_ident,X160_R_80_2am4_score,X105_R_53_1jlr_ident,X106_R_53_1jlr_score,X901_R_451_2gvj_ident,X902_R_451_2gvj_score,X821_R_411_1yqj_ident,X822_R_411_1yqj_score,X539_R_270_1ssq_ident,X540_R_270_1ssq_score,X685_R_343_1os5_ident,X686_R_343_1os5_score,X783_R_392_1uou_ident,X784_R_392_1uou_score,X111_R_56_1ikt_ident,X112_R_56_1ikt_score,X855_R_428_1t31_ident,X856_R_428_1t31_score,X477_R_239_1n5r_ident,X478_R_239_1n5r_score,X467_R_234_1mfi_ident,X468_R_234_1mfi_score,X659_R_330_1mai_ident,X660_R_330_1mai_score,X123_R_62_1moq_ident,X124_R_62_1moq_score,X605_R_303_1yvm_ident,X606_R_303_1yvm_score,X865_R_433_2pcp_ident,X866_R_433_2pcp_score,X65_R_33_1ugp_ident,X66_R_33_1ugp_score,X153_R_77_2bjm_ident,X154_R_77_2bjm_score,X427_R_214_2c1p_ident,X428_R_214_2c1p_score,X433_R_217_2j47_ident,X434_R_217_2j47_score,X219_R_110_1t5f_ident,X220_R_110_1t5f_score,X883_R_442_1pbk_ident,X884_R_442_1pbk_score,X303_R_152_1aid_ident,X304_R_152_1aid_score,X667_R_334_1qy5_ident,X668_R_334_1qy5_score,X317_R_159_2ypi_ident,X318_R_159_2ypi_score,X333_R_167_4ts1_ident,X334_R_167_4ts1_score,X603_R_302_1igb_ident,X604_R_302_1igb_score,X787_R_394_1qiw_ident,X788_R_394_1qiw_score,X741_R_371_2gv6_ident,X742_R_371_2gv6_score,X155_R_78_2bmz_ident,X156_R_78_2bmz_score,X847_R_424_2byr_ident,X848_R_424_2byr_score,X543_R_272_2bvd_ident,X544_R_272_2bvd_score,X867_R_434_1mjj_ident,X868_R_434_1mjj_score,X449_R_225_1tys_ident,X450_R_225_1tys_score,X549_R_275_1t7d_ident,X550_R_275_1t7d_score,X529_R_265_1ndv_ident,X530_R_265_1ndv_score,X595_R_298_1i00_ident,X596_R_298_1i00_score,X807_R_404_1dqn_ident,X808_R_404_1dqn_score,X649_R_325_1ii5_ident,X650_R_325_1ii5_score,X731_R_366_1hii_ident,X732_R_366_1hii_score,X113_R_57_1jt1_ident,X114_R_57_1jt1_score,X201_R_101_1odj_ident,X202_R_101_1odj_score,X169_R_85_2gvv_ident,X170_R_85_2gvv_score,X355_R_178_1m48_ident,X356_R_178_1m48_score,X721_R_361_1me8_ident,X722_R_361_1me8_score,X383_R_192_1kll_ident,X384_R_192_1kll_score,X879_R_440_1y0l_ident,X880_R_440_1y0l_score,X21_R_11_1f2o_ident,X22_R_11_1f2o_score,X915_R_458_1igj_ident,X916_R_458_1igj_score,X437_R_219_1h9z_ident,X438_R_219_1h9z_score,X725_R_363_1g2l_ident,X726_R_363_1g2l_score,X887_R_444_1mh5_ident,X888_R_444_1mh5_score,X157_R_79_1grp_ident,X158_R_79_1grp_score
0,0,57.14,0.03,28.12,0.05,71.43,0.01,0,0,47.37,0.02,0,0,0,0,0,0,0,0,58.33,0.03,29.17,0.01,0,0,0,0,24.32,0.03,0,0,0,0,0,0,0,0,37.5,0.04,27.27,0.03,33.33,0.01,0,0,43.48,0.03,36,0.02,0,0,0,0,85.71,0.02,0,0,0,0,38.46,0.01,29.41,0.03,0,0,0,0,40.91,0.02,25,0.04,66.67,0.06,27.27,0.01,0,0,44.44,0.04,47.06,0.02,41.67,0.03,0,0,32.14,0.02,37.5,0.01,45.45,0.02,18.52,0.02,0,0,22.45,0.05,0,0,0,0,50,0.02,26.67,0.02,0,0,0,0,0,0,0,0,0,0,75,0.03,60,0.02,45.45,0.02,0,0,38.89,0.03,0,0,26.67,0.02,0,0,0,0,0,0,0,0,36.84,0.03,0,0,28.07,0.01,50,0.04,41.67,0.02,0,0,0,0,0,0,0,0,45,0.02,45.45,0.02
0,0,57.14,0.03,28.12,0.05,0,0,0,0,0,0,0,0,0,0,41.67,0.01,29.03,0.01,58.33,0.03,29.17,0.01,0,0,0,0,24.32,0.03,0,0,0,0,0,0,0,0,37.5,0.04,27.27,0.03,33.33,0.01,0,0,43.48,0.03,36,0.02,0,0,0,0,85.71,0.02,0,0,37.5,0.01,38.46,0.01,29.41,0.03,0,0,0,0,40.91,0.02,25,0.04,66.67,0.06,27.27,0.01,0,0,44.44,0.04,47.06,0.02,41.67,0.03,0,0,32.14,0.02,37.5,0.01,45.45,0.02,18.52,0.02,0,0,22.45,0.05,0,0,0,0,50,0.02,26.67,0.02,0,0,0,0,0,0,0,0,0,0,71.43,0.03,60,0.02,45.45,0.02,0,0,38.89,0.03,0,0,26.67,0.02,0,0,0,0,0,0,0,0,36.84,0.03,0,0,28.07,0.01,50,0.04,41.67,0.02,0,0,0,0,0,0,0,0,45,0.02,45.45,0.02
0,0,57.14,0.03,28.12,0.05,0,0,0,0,45,0.02,0,0,0,0,41.67,0.01,29.03,0.01,58.33,0.03,29.17,0.01,0,0,0,0,24.32,0.03,0,0,0,0,0,0,0,0,37.5,0.04,27.27,0.03,33.33,0.01,0,0,43.48,0.03,36,0.02,0,0,0,0,85.71,0.02,0,0,37.5,0.01,38.46,0.01,29.41,0.03,0,0,0,0,40.91,0.02,25,0.04,66.67,0.06,27.27,0.01,0,0,44.44,0.04,47.06,0.02,41.67,0.03,0,0,32.14,0.02,37.5,0.01,45.45,0.02,18.52,0.02,0,0,22.45,0.05,0,0,0,0,50,0.02,26.67,0.02,0,0,0,0,0,0,0,0,0,0,75,0.03,60,0.02,45.45,0.02,0,0,38.89,0.03,0,0,26.67,0.02,0,0,0,0,0,0,0,0,36.84,0.03,0,0,28.07,0.01,83.33,0.04,41.67,0.02,0,0,0,0,0,0,0,0,45,0.02,45.45,0.02
0,0,0,0,0,0,0,0,41.18,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0.01,0,0,0,0,0,0,62.5,0.01,0,0,0,0,0,0,0,0,27.66,0.01,0,0,0,0,26.67,0.01,0,0,33.33,0.01,0,0,0,0,0,0,0,0,0,0,0,0,36.36,0.01,40,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0.01,0,0,35,0.01,0,0,0,0,26.96,0.01,0,0,0,0,29.41,0.01,0,0,0,0,0,0,35.29,0.01,0,0,34.78,0.01,0,0,0,0,33.33,0.01,0,0,37.5,0.01,61.54,0.01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0.01,0,0,0,0,0,0,62.5,0.01,0,0,0,0,0,0,0,0,27.66,0.01,0,0,44.44,0.01,26.67,0.01,0,0,33.33,0.01,0,0,0,0,0,0,0,0,0,0,0,0,36.36,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0.01,0,0,0,0,0,0,0,0,26.89,0.01,0,0,0,0,29.41,0.01,0,0,0,0,0,0,35.29,0.01,0,0,34.78,0.01,0,0,0,0,28.95,0.01,0,0,37.5,0.01,61.54,0.01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0.01,0,0,0,0,0,0,62.5,0.01,0,0,0,0,0,0,0,0,27.66,0.01,0,0,44.44,0.01,26.67,0.01,0,0,33.33,0.01,0,0,0,0,0,0,0,0,0,0,0,0,36.36,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0.01,0,0,0,0,0,0,0,0,26.89,0.01,0,0,0,0,29.41,0.01,0,0,0,0,0,0,35.29,0.01,0,0,34.78,0.01,0,0,0,0,28.95,0.01,0,0,37.5,0.01,61.54,0.01
24.49,0.02,80,0.03,0,0,0,0,0,0,27.66,0.01,30.23,0.01,21.88,0.02,37.04,0.01,20.31,0.01,50,0.03,26.32,0.01,39.13,0.04,0,0,33.33,0.03,0,0,0,0,0,0,41.67,0.03,28.57,0.04,66.67,0.03,36.84,0.01,34.48,0.03,41.38,0.03,0,0,0,0,0,0,33.33,0.02,26.32,0.02,0,0,19.4,0.01,0,0,26.15,0.01,35.71,0.02,0,0,28.57,0.04,0,0,23.53,0.01,80,0.02,0,0,0,0,0,0,0,0,45.45,0.02,0,0,0,0,19.78,0.02,23.53,0.01,0,0,66.67,0.03,26.09,0.04,50,0.02,46.15,0.02,22.58,0.02,0,0,0,0,0,0,0,0,20,0.03,0,0,0,0,0,0,28.21,0.04,0,0,38.46,0.02,0,0,27.03,0.04,0,0,0,0,0,0,60,0.03,0,0,0,0,50,0.02,26,0.03,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,33.33,0.01,0,0,27.66,0.01,0,0,45.45,0.02,37.04,0.01,25.93,0.01,38.46,0.03,0,0,30.3,0.04,0,0,0,0,0,0,0,0,0,0,37.04,0.04,43.24,0.03,25,0.02,33.33,0.01,40,0.02,38.1,0.02,31.91,0.03,0,0,31.58,0.03,33.33,0.02,26.32,0.02,0,0,55.56,0.01,0,0,24.14,0.01,0,0,0,0,28.57,0.04,0,0,23.53,0.01,80,0.02,0,0,0,0,0,0,0,0,50,0.02,0,0,0,0,41.18,0.02,19.19,0.01,30,0.04,26.02,0.04,0,0,0,0,21.82,0.02,27.27,0.02,0,0,23.08,0.03,0,0,0,0,0,0,0,0,0,0,0,0,27.03,0.03,46.67,0.02,38.46,0.02,0,0,0,0,0,0,0,0,80,0.02,60,0.03,0,0,0,0,50,0.02,33.33,0.03,23.53,0.02,0,0,0,0,0,0,38.1,0.01
0,0,0,0,0,0,33.33,0.01,0,0,27.66,0.01,0,0,21.05,0.02,42.86,0.01,25.93,0.01,38.46,0.03,0,0,30.3,0.04,0,0,0,0,0,0,0,0,0,0,37.04,0.04,43.24,0.03,25,0.02,33.33,0.01,40,0.02,38.1,0.02,29.79,0.03,0,0,29.41,0.03,33.33,0.02,22.73,0.02,0,0,55.56,0.01,38.89,0.02,24.14,0.01,0,0,0,0,28.57,0.04,0,0,23.53,0.01,80,0.02,0,0,0,0,0,0,0,0,50,0.02,0,0,0,0,41.18,0.02,19.19,0.01,30,0.04,26.61,0.04,0,0,0,0,21.82,0.02,26.79,0.02,0,0,23.08,0.03,0,0,0,0,0,0,0,0,0,0,0,0,27.03,0.03,50,0.02,38.46,0.02,0,0,0,0,0,0,0,0,80,0.02,60,0.03,0,0,0,0,50,0.02,62.5,0.03,23.53,0.02,0,0,0,0,0,0,38.1,0.01
37.5,0.02,20,0.04,36.84,0.05,71.43,0.01,18.6,0.11,66.67,0.01,0,0,41.18,0.02,57.14,0.01,0,0,54.55,0.05,0,0,0,0,0,0,0,0,33.33,0.04,35,0.04,0,0,0,0,0,0,0,0,53.33,0.01,0,0,25.93,0.02,0,0,0,0,0,0,33.33,0.02,33.33,0.03,25.29,0.01,23.75,0.01,24.53,0.03,41.18,0.01,35.48,0.03,46.67,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0.02,36.36,0.03,0,0,20.93,0.03,28.57,0.02,0,0,0,0,0,0,0,0,0,0,36,0.02,0,0,0,0,35.48,0.05,26.23,0.05,0,0,0,0,50,0.03,0,0,0,0,42.11,0.03,27.27,0.02,0,0,32.35,0.02,0,0,0,0,34.69,0.01,0,0,0,0,0,0,0,0,36.36,0.02,28.12,0.03,50,0.03,50,0.02,30.16,0.04,38.46,0.02,28.57,0.01
0,0,20.83,0.03,36.84,0.03,0,0,18.94,0.06,66.67,0.01,0,0,41.18,0.02,57.14,0.01,0,0,0,0,0,0,0,0,0,0,31.25,0.03,0,0,35,0.03,0,0,0,0,0,0,0,0,53.33,0.01,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0.02,0,0,62.5,0.01,25.53,0.03,0,0,35.48,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0.02,22.73,0.02,0,0,20.93,0.02,21.36,0.02,0,0,0,0,0,0,0,0,0,0,46.15,0.02,0,0,0,0,35.48,0.03,26.23,0.03,0,0,0,0,28.57,0.02,0,0,0,0,42.11,0.02,27.27,0.02,0,0,0,0,0,0,0,0,34.69,0.01,0,0,0,0,0,0,0,0,33.33,0.02,27.27,0.02,50,0.02,50,0.02,33.9,0.03,0,0,0,0
0,0,0,0,36.84,0.03,0,0,18.6,0.07,66.67,0.01,0,0,41.18,0.02,57.14,0.01,0,0,54.55,0.03,0,0,0,0,0,0,0,0,0,0,35,0.03,0,0,0,0,0,0,0,0,53.33,0.01,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0.02,0,0,62.5,0.01,26,0.03,0,0,35.48,0.02,0,0,0,0,0,0,37.5,0.01,0,0,22.22,0.03,0,0,0,0,28.57,0.02,36.36,0.02,0,0,20.93,0.02,21.15,0.02,0,0,0,0,0,0,0,0,0,0,46.15,0.01,0,0,0,0,35.48,0.03,26.23,0.03,0,0,0,0,50,0.02,0,0,0,0,71.43,0.02,27.27,0.02,0,0,0,0,0,0,0,0,34.69,0.01,0,0,0,0,0,0,0,0,33.33,0.02,0,0,50,0.02,50,0.02,31.67,0.03,0,0,0,0
0,0,35.71,0.05,0,0,0,0,0,0,38.89,0.02,0,0,50,0.02,0,0,32.08,0.01,46.15,0.03,0,0,36.36,0.03,0,0,47.06,0.05,33.33,0.05,0,0,0,0,0,0,23.81,0.03,24.44,0.03,29.63,0.01,0,0,0,0,36.36,0.02,0,0,44.44,0.03,19.35,0.02,71.43,0.03,54.55,0.01,55.56,0.01,0,0,26.19,0.01,38.46,0.02,77.78,0.02,31.25,0.04,30.77,0.03,0,0,0,0,0,0,57.14,0.01,33.33,0.03,40,0.03,31.58,0.03,66.67,0.01,31.82,0.03,31.25,0.02,0,0,30.19,0.05,0,0,0,0,40,0.02,0,0,28.57,0.02,35.71,0.04,31.43,0.05,0,0,0,0,0,0,31.82,0.03,40,0.02,0,0,0,0,43.75,0.02,44.44,0.02,0,0,50,0.04,42.11,0.04,0,0,32,0.03,27.78,0.06,25.93,0.01,22.22,0.03,32.14,0.02,33.33,0.03,31.82,0.03,21.95,0.03,55.56,0.03,38.1,0.03,0,0
0,0,35.71,0.05,0,0,0,0,0,0,38.89,0.02,0,0,50,0.02,0,0,32.08,0.01,46.15,0.03,0,0,36.36,0.03,0,0,47.06,0.05,33.33,0.05,0,0,0,0,0,0,23.81,0.03,24.44,0.03,29.63,0.01,0,0,0,0,36.36,0.02,0,0,44.44,0.03,19.35,0.02,71.43,0.03,54.55,0.01,55.56,0.01,0,0,26.19,0.01,38.46,0.02,77.78,0.02,31.25,0.04,30.77,0.03,0,0,0,0,0,0,57.14,0.01,33.33,0.03,40,0.03,31.58,0.03,66.67,0.01,31.82,0.03,31.25,0.02,0,0,30.19,0.05,0,0,0,0,40,0.02,0,0,28.57,0.02,35.71,0.04,31.43,0.05,0,0,0,0,0,0,31.82,0.03,40,0.02,0,0,0,0,43.75,0.02,44.44,0.02,0,0,50,0.04,42.11,0.04,0,0,32,0.03,27.78,0.06,25.93,0.01,22.22,0.03,32.14,0.02,33.33,0.03,31.82,0.03,21.95,0.03,55.56,0.03,38.1,0.03,0,0
0,0,35.71,0.05,0,0,0,0,0,0,38.89,0.02,0,0,50,0.02,0,0,32.08,0.01,46.15,0.03,0,0,36.36,0.03,0,0,47.06,0.05,33.33,0.05,0,0,0,0,0,0,23.81,0.03,24.44,0.03,29.63,0.01,0,0,0,0,36.36,0.02,0,0,44.44,0.03,19.35,0.02,71.43,0.03,54.55,0.01,55.56,0.01,0,0,26.19,0.01,38.46,0.02,77.78,0.02,31.25,0.04,30.77,0.03,0,0,0,0,0,0,57.14,0.01,33.33,0.03,40,0.03,31.58,0.03,66.67,0.01,31.82,0.03,31.25,0.02,0,0,30.19,0.05,0,0,0,0,40,0.02,0,0,28.57,0.02,35.71,0.04,31.43,0.05,0,0,0,0,0,0,31.82,0.03,40,0.02,0,0,0,0,43.75,0.02,44.44,0.02,0,0,50,0.04,42.11,0.04,0,0,32,0.03,27.78,0.06,25.93,0.01,22.22,0.03,32.14,0.02,33.33,0.03,31.82,0.03,21.95,0.03,55.56,0.03,38.1,0.03,0,0
0,0,0,0,21.43,0.02,53.33,0.01,0,0,0,0,0,0,29.17,0.02,0,0,0,0,0,0,31.82,0.01,0,0,0,0,0,0,21.3,0.03,28.57,0.02,0,0,0,0,0,0,0,0,22.45,0.01,46.67,0.02,0,0,0,0,0,0,0,0,26.14,0.02,0,0,0,0,0,0,0,0,0,0,41.67,0.01,26,0.01,0,0,60,0.02,0,0,40,0.02,40,0.03,0,0,0,0,26.92,0.02,66.67,0.02,0,0,0,0,25,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.03,0,0,62.5,0.02,0,0,36.36,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.73,0.02,26.09,0.02,0,0,0,0,40,0.02,0,0,40.91,0.01
0,0,0,0,21.43,0.02,53.33,0.01,0,0,0,0,0,0,29.17,0.02,0,0,0,0,0,0,31.82,0.01,0,0,0,0,0,0,21.3,0.03,28.57,0.02,0,0,0,0,0,0,0,0,22.45,0.01,46.67,0.02,0,0,0,0,0,0,0,0,26.14,0.02,0,0,0,0,0,0,0,0,0,0,41.67,0.01,26,0.01,0,0,60,0.02,0,0,40,0.02,40,0.03,0,0,0,0,26.92,0.02,66.67,0.02,0,0,0,0,25,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.03,0,0,62.5,0.02,0,0,36.36,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.73,0.02,26.09,0.02,0,0,0,0,40,0.02,0,0,40.91,0.01
0,0,0,0,26.32,0.03,53.33,0.01,0,0,0,0,0,0,29.17,0.02,0,0,0,0,40,0.02,31.82,0.01,0,0,0,0,0,0,21.3,0.03,0,0,0,0,0,0,0,0,0,0,22.45,0.01,46.67,0.02,0,0,0,0,0,0,0,0,26.14,0.02,14.63,0.02,0,0,0,0,0,0,0,0,41.67,0.01,26,0.01,45.45,0.03,60,0.02,0,0,40,0.02,40,0.03,0,0,0,0,26.92,0.02,66.67,0.02,0,0,50,0.02,25,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.03,0,0,62.5,0.02,0,0,36.36,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.09,0.02,0,0,0,0,40,0.02,0,0,40.91,0.01
0,0,40,0.03,0,0,41.67,0.01,16.67,0.04,0,0,32.61,0.01,0,0,30,0.02,0,0,53.33,0.06,0,0,52.94,0.06,0,0,0,0,31.25,0.05,0,0,0,0,50,0.04,33.33,0.03,0,0,0,0,19.23,0.04,0,0,19.28,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0.02,45.45,0.02,15.56,0.07,25,0.04,0,0,0,0,0,0,0,0,45.45,0.04,24.39,0.04,45.45,0.03,61.54,0.02,23.08,0.03,80,0.02,0,0,0,0,0,0,0,0,0,0,29.63,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.46,0.03,41.18,0.02,0,0,0,0,0,0,0,0,75,0.01,0,0,0,0,0,0,0,0,62.5,0.03,0,0,17.07,0.03,24.53,0.03,24.56,0.04,0,0,21.74,0.02
0,0,40,0.03,0,0,41.67,0.01,16.67,0.04,0,0,32.61,0.01,0,0,30,0.02,0,0,53.33,0.06,0,0,52.94,0.06,0,0,0,0,31.25,0.05,0,0,0,0,50,0.04,33.33,0.03,0,0,0,0,19.23,0.04,0,0,19.28,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0.02,45.45,0.02,15.56,0.07,25,0.04,0,0,0,0,0,0,0,0,45.45,0.04,24.39,0.04,45.45,0.03,61.54,0.02,23.08,0.03,80,0.02,0,0,0,0,0,0,0,0,0,0,29.63,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.46,0.03,41.18,0.02,0,0,0,0,0,0,0,0,75,0.01,0,0,0,0,0,0,0,0,62.5,0.03,0,0,17.07,0.03,24.53,0.03,24.56,0.04,0,0,21.74,0.02
0,0,40,0.03,0,0,41.67,0.01,16.67,0.04,0,0,32.61,0.01,0,0,30,0.02,0,0,53.33,0.06,0,0,52.94,0.06,0,0,0,0,31.25,0.05,0,0,0,0,50,0.04,33.33,0.03,0,0,0,0,19.23,0.04,0,0,19.28,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0.02,45.45,0.02,15.56,0.07,25,0.04,0,0,0,0,0,0,0,0,45.45,0.04,24.39,0.04,45.45,0.03,61.54,0.02,23.08,0.03,80,0.02,0,0,0,0,0,0,0,0,0,0,29.63,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.46,0.03,41.18,0.02,0,0,0,0,0,0,0,0,75,0.01,0,0,0,0,0,0,0,0,62.5,0.03,0,0,17.07,0.03,24.53,0.03,24.56,0.04,0,0,21.74,0.02
0,0,0,0,0,0,0,0,0,0,26.09,0.01,0,0,23.53,0.02,37.5,0.01,38.89,0.01,0,0,0,0,37.5,0.04,0,0,23.21,0.04,66.67,0.05,35.71,0.04,0,0,0,0,37.04,0.03,35.29,0.04,33.33,0.01,0,0,30,0.02,40.62,0.03,0,0,25,0.03,0,0,40,0.03,0,0,33.33,0.01,0,0,0,0,0,0,50,0.02,30.43,0.07,62.5,0.04,0,0,0,0,19.35,0.06,60,0.02,26.67,0.04,0,0,57.14,0.02,0,0,0,0,29.41,0.03,0,0,0,0,0,0,46.15,0.06,0,0,28.21,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.69,0.04,83.33,0.04,0,0,0,0,0,0,0,0,0,0,25,0.03,0,0,0,0,26.92,0.02,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,26.09,0.01,0,0,0,0,37.5,0.01,38.89,0.01,0,0,0,0,37.5,0.04,0,0,23.21,0.04,66.67,0.05,35.71,0.04,0,0,0,0,37.04,0.03,35.29,0.04,33.33,0.01,0,0,30,0.02,40.62,0.03,0,0,0,0,0,0,40,0.03,0,0,33.33,0.01,0,0,0,0,0,0,50,0.02,29.17,0.08,62.5,0.04,0,0,0,0,19.35,0.06,60,0.02,26.67,0.04,0,0,57.14,0.02,0,0,0,0,29.41,0.03,0,0,0,0,0,0,46.15,0.06,0,0,28.21,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.69,0.04,83.33,0.04,0,0,0,0,0,0,0,0,0,0,25,0.03,0,0,0,0,26.92,0.02,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0.01,0,0,0,0,0,0,29.41,0.03,0,0,23.21,0.03,66.67,0.04,0,0,0,0,0,0,38.46,0.03,35.29,0.03,33.33,0.01,0,0,0,0,38.46,0.02,0,0,0,0,0,0,24.19,0.03,0,0,33.33,0.01,0,0,0,0,0,0,50,0.02,36.84,0.05,62.5,0.03,0,0,0,0,0,0,60,0.02,26.67,0.03,0,0,0,0,0,0,0,0,31.03,0.02,0,0,0,0,0,0,47.06,0.05,0,0,83.33,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33,0.03,0,0,0,0,0,0,0,0,0,0,25.93,0.03,0,0,0,0,36.67,0.02,0,0,0,0,0,0
0,0,40,0.04,0,0,24.19,0.01,0,0,0,0,0,0,0,0,66.67,0.01,0,0,40,0.03,28.38,0.01,0,0,55.56,0.02,31.58,0.03,23.81,0.04,37.5,0.03,0,0,0,0,0,0,0,0,39.13,0.01,33.33,0.03,28.89,0.02,32.26,0.03,0,0,0,0,33.33,0.02,0,0,0,0,0,0,33.33,0.02,42.86,0.01,0,0,0,0,41.67,0.04,26.19,0.04,32.26,0.01,0,0,0,0,0,0,26.76,0.04,0,0,66.67,0.03,50,0.01,0,0,29.41,0.02,0,0,0,0,92.93,0.95,30.77,0.04,41.67,0.02,35,0.02,0,0,0,0,0,0,0,0,0,0,66.67,0.03,0,0,33.33,0.02,0,0,23.73,0.03,46.15,0.02,0,0,0,0,49.49,0.55,50,0.03,0,0,26.92,0.03,0,0,34.48,0.01,42.31,0.03,25,0.02,71.43,0.03,0,0,0,0,0,0,0,0,0,0
0,0,25,0.04,0,0,25,0.01,0,0,0,0,0,0,0,0,66.67,0.01,0,0,40,0.03,26.37,0.01,0,0,55.56,0.02,33.33,0.03,23.81,0.04,37.5,0.03,0,0,0,0,0,0,0,0,29.41,0.01,33.33,0.03,28,0.03,25.81,0.03,0,0,0,0,35.71,0.02,0,0,0,0,0,0,33.33,0.02,42.86,0.01,0,0,0,0,41.67,0.04,27.08,0.04,32.26,0.01,0,0,0,0,0,0,26.09,0.04,0,0,0,0,24.62,0.01,0,0,27.78,0.02,0,0,0,0,89.9,0.93,30.77,0.05,25.4,0.02,35,0.02,40,0.02,0,0,0,0,0,0,0,0,66.67,0.03,0,0,33.33,0.02,0,0,43.75,0.03,41.18,0.02,0,0,0,0,48.48,0.54,50,0.03,0,0,26.92,0.03,0,0,31.03,0.01,42.31,0.03,36.36,0.02,71.43,0.03,0,0,0,0,0,0,0,0,0,0
